00000?0? 111111011 0011 1    5 0    ?11111011.0011  0x06b  FARCALL
00001?0? 111111010 0011 1    5 1    ?11111010.0011  0x077  NEARCALL
10000?0? 011001011 0010 1    7 0    0110010?1.0010  0x0c2  FARRET
00010?0? 011101011 0010 1    5 2    0111010?1.0010  0x0d2  RELJMP
??000?1? 101000000 0000 0      0    101000000.0000  0x1d4  [BX+SI]
??001?1? 101000000 0110 0      1    101000000.0110  0x1da  [BX+DI]

??010?1? 101000000 0111 1      2    101000000.0111  0x1db  [BP+SI]
??011?1? 101000000 0011 1      3    101000000.0011  0x1d7  [BP+DI]
??100?1? 010001011 0011 0      4    0100010??.0011  0x003  [SI]
??101?1? 010111111 0011 0      5    01011????.0011  0x01f  [DI]
00110?1? 101000000 1000 0      6    101000000.1000  0x1dc  [iw]
01110?1? 111111001 0011 1      6    ?1111100?.0011  0x023  [BP]
10110?1? 111111001 0011 1      6    ?1111100?.0011  0x023  [BP]
??111?1? 001011111 0011 0      7    001011???.0011  0x037  [BX]

00011?00 101000000 1010 1    5 3    101000000.1010  0x1de  [i]
00011001 101000000 1101 1    5 3    101000000.1101  0x1e1  EALOAD
00011101 101000000 1111 1    5 3    101000000.1111  0x1e3  EADONE
0010000? 101000000 1101 1    5 4    101000000.1101  0x1e1  EALOAD
0010010? 101000000 1111 1    5 4    101000000.1111  0x1e3  EADONE
00101?0? 111111011 0100 1    5 5    ?11111011.0100  0x06c  FARCALL2

00110?0? 100000000 0110 1    5 6    100000000.0101  0x19d  INTR
10001?0? 011010111 0110 1    7 1    011010111.0110  0x112  RPTS
00111?0? 100000000 1111 1    5 7    100000000.1111  0x1a7  INT0
10010?0? 001001111 0011 1    7 2    00100????.0011  0x17f  CORX
10011?0? 100100010 0000 1    7 3    100100010.0000  0x188  CORD
10100?0? 100100011 1100 1    7 4    100100011.1100  0x1c0  PREIMUL
10101?0? 100100011 0010 1    7 5    100100011.0010  0x1b6  NEGATE
10110?0? 100100100 1001 1    7 6    100100100.1001  0x1cd  IMULCOF

10111?0? 100100100 1110 1    7 7    100100100.1110  0x1d2  MULCOF
11000?0? 100100011 0000 1    7 8    100100011.0000  0x1b4  PREIDIV
11001?0? 100100100 0000 1    7 9    100100100.0000  0x1c4  POSTIDIV
01000?0? 011010111 1100 1    5 8    011010111.1100  0x118  RPTI
01001?0? 011010100 0101 1    5 9    011010100.0101  0x179  AAEND
??????0? 111111111 1111 1
??????0? 111111111 1111 1
